Name of Location,Address,Zip Code,Latitude,Longitude,Descriptions
Statue of Liberty,"New York, NY",10004,40.6892,74.0445,A colossal neoclassical sculpture on Liberty Island in New York Harbor
Central Park,"New York, NY",10019,40.7812,73.9665,"Central Park is an urban park in New York City located between the Upper West and Upper East Sides of Manhattan. It is the fifth-largest park in the city by area, covering 843 acres."
Rockefeller Center & Top of the Rock Observation Deck,45 Rockefeller Plaza,10111,40.7587,73.9787,"Observatory on top of Rockefeller Center, with an ocean-liner style design, offering city views."
Metropolitan Museum of Art,1000 5th Avenue,10028,40.7794,73.9632,"The Metropolitan Museum of Art of New York City, colloquially ""the Met"", is the largest art museum in the United States. With 6,479,548 visitors to its three locations in 2019, it was the fourth most visited art museum in the world."
Broadway and the Theater District,1681 Broadway,10019,40.7634,73.9833,"The Theater District is the teeming heart of Midtown West. In the pedestrian plazas of Times Square, costumed characters beckon to energetic crowds under the pulsing lights of towering digital billboards. Locals and tourists gather on the giant red staircase above the TKTS booth, which sells tickets to Broadway shows running at the area’s historic theaters. On busy 42nd Street, chain stores and restaurants abound."
Empire State Building,20 W 34th Street,10001,40.7484,73.9857,"The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan in New York City. It was designed by Shreve, Lamb & Harmon and built from 1930 to 1931. Its name is derived from ""Empire State"", the nickname of the state of New York."
Museum of Modern Art,11 W 53rd Street,10019,40.7614,73.9776,"The Museum of Modern Art (MoMA) is an art museum located in Midtown Manhattan, New York City, on 53rd Street between Fifth and Sixth Avenues. It plays a major role in developing and collecting modern art, and is often identified as one of the largest and most influential museums of modern art in the world."
9/11 Memorial and Museum,180 Greenwich St,10007,40.7115,74.0137,"The National September 11 Memorial & Museum (also known as the 9/11 Memorial & Museum) is a memorial and museum in New York City commemorating the September 11, 2001 attacks, which killed 2,977 people, and the 1993 World Trade Center bombing, which killed six."
High Line,"New York, NY",10011,40.748,74.0048,"The High Line is both a nonprofit organization and a public park on the West Side of Manhattan. Through our work with communities on and off the High Line, we’re devoted to reimagining the role public spaces have in creating connected, healthy neighborhoods and cities."
Times Square,"Manhattan, NY ",10036,40.758,73.9855,"Times Square is a major commercial intersection, tourist destination, entertainment center, and neighborhood in the Midtown Manhattan section of New York City, at the junction of Broadway and Seventh Avenue."
Brooklyn Bridge,"Brooklyn Bridge, New York, NY",10038,40.7061,73.9969,"The Brooklyn Bridge is a hybrid cable-stayed/suspension bridge in New York City, spanning the East River between the boroughs of Manhattan and Brooklyn. Opened on May 24, 1883, the Brooklyn Bridge was the first fixed crossing across the East River."
Fifth Avenue,5th Avenue ,10022,40.7581,73.977,Fifth Avenue is a major thoroughfare in the borough of Manhattan in New York City. It stretches north from Washington Square Park in Greenwich Village to West 143rd Street in Harlem. It is considered one of the most expensive and elegant streets in the world.
Grand Central Terminal,89 E 42nd Street,10017,40.7527,73.9772,"Grand Central Terminal is a commuter rail terminal located at 42nd Street and Park Avenue in Midtown Manhattan, New York City. Grand Central is the southern terminus of the Metro-North Railroad's Harlem, Hudson and New Haven Lines, serving the northern parts of the New York metropolitan area."
One World Observatory,117 West Street,10006,40.7127,74.0134,"Observatory located on floors 100-102 of One World Trade Center, with exhibits & restaurants."
The Frick Collection,1 E 70th Street,10021,40.7712,73.9674,"The Frick Collection is an art museum located in the Henry Clay Frick House on the Upper East Side in Manhattan, New York City at 1 East 70th Street, located at the northeast corner with Fifth Avenue. It houses the collection of industrialist Henry Clay Frick."
New York Public Library,476 5th Avenue ,10018,40.7532,73.9823,"The New York Public Library is a public library system in New York City. With nearly 53 million items and 92 locations, the New York Public Library is the second largest public library in the United States and the third largest in the world."
Wall Street,Wall Street,10005,40.706,74.0088,"Wall Street is an eight-block-long street in the Financial District of Lower Manhattan in New York City. It runs between Broadway in the west to South Street and the East River in the east. The term ""Wall Street"" has become a metonym for the financial markets of the United States as a whole, the American financial services industry, New York–based financial interests, or the Financial District itself."
Radio City Music Hall,1260 6th Avenue,10020,40.7600,73.9800,"Radio City Music Hall is an entertainment venue at 1260 Avenue of the Americas, within Rockefeller Center, in Midtown Manhattan, New York City. Nicknamed the Showplace of the Nation, it is the headquarters for the Rockettes, the precision dance company."
St. Patrick's Cathedral,5th Avenue ,10022,40.7586,73.9762,"The Cathedral of Saint Patrick is the seat of the Roman Catholic Church in Charlotte, North Carolina, United States of America. It is the mother church of the Diocese of Charlotte and is the seat of its bishop."
Carnegie Hall,881 7th Avenue ,10019,40.7651,73.9799,"Carnegie Hall is a concert venue in Midtown Manhattan in New York City, United States, located at 881 Seventh Avenue, occupying the east side of Seventh Avenue between West 56th Street and West 57th Street, two blocks south of Central Park."
Bryant Park,"New York, NY",10018,40.7536,73.9832,"Bryant Park is a 9.6-acre (39,000 m2) public park located in the New York City borough of Manhattan. Privately managed, it is located between Fifth Avenue and Avenue of the Americas (Sixth Avenue) and between 40th and 42nd Streets in Midtown Manhattan. The eastern half of Bryant Park is occupied by the Main Branch of the New York Public Library (NYPL). The western half, which contains a lawn, shaded walkways, and amenities such as a carousel, is located entirely over an underground structure that houses the library's stacks. The park hosts several events, including a seasonal ""Winter Village"" with an ice rink and shops during the winter."
