,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url,Category
0,Best Bagel & Coffee,4.5,3325,$,225 W 35th St,10001,40.7522683,-73.99108609999999,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
1,Liberty Bagels Midtown,4.5,525,$,260 W 35th St,10001,40.75255,-73.99249,https://www.yelp.com/biz/liberty-bagels-midtown-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
2,Russ & Daughters,4.5,2237,$$,179 E Houston St,10002,40.722589,-73.9882828294139,https://www.yelp.com/biz/russ-and-daughters-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
3,Mixtape Bushwick,4.5,78,$,1533 Myrtle Ave,11237,40.699494200000004,-73.9140196,https://www.yelp.com/biz/mixtape-bushwick-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
4,Absolute Bagels,4.5,1411,$,2788 Broadway,10025,40.80251,-73.96745,https://www.yelp.com/biz/absolute-bagels-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
5,Brooklyn Bagel & Coffee Company,4.5,696,$,35-05 Broadway,11106,40.76055,-73.92175999999999,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
6,Brooklyn Bagel & Coffee Company,4.0,1448,$,286 8th Ave,10001,40.746183,-73.997642,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
7,Utopia Bagels,4.5,615,$,1909 Utopia Pkwy,11357,40.779896835645296,-73.7930051609874,https://www.yelp.com/biz/utopia-bagels-whitestone-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
8,BO's Bagels,4.5,331,$,235 W 116th St,10026,40.804196999999995,-73.954091,https://www.yelp.com/biz/bos-bagels-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
9,Russ & Daughters Cafe,4.0,1006,$$,127 Orchard St,10002,40.7196253171697,-73.9895758930263,https://www.yelp.com/biz/russ-and-daughters-cafe-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Bagel
