,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url,Category
0,Royal Grill Halal Food,5.0,357,$,44TH St And 6th Ave,10018.0,40.75614,-73.98316,https://www.yelp.com/biz/royal-grill-halal-food-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
1,Tony Dragon's Grille,4.5,221,$,62nd St and Madison Ave,10065.0,40.76547,-73.97004,https://www.yelp.com/biz/tony-dragons-grille-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
2,Xinjiang BBQ Cart,4.5,329,$,41ST Ave,11355.0,40.758665,-73.82938399999999,https://www.yelp.com/biz/xinjiang-bbq-cart-flushing?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
3,Williamsburg Smorgasburg - Saturday,4.5,1121,$$,90 Kent Ave,11211.0,40.721021,-73.962177,https://www.yelp.com/biz/williamsburg-smorgasburg-saturday-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
4,The Halal Guys,4.0,9501,$,W 53rd St,10019.0,40.76477,-73.98614,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
5,Billy's Hot Dog Cart,5.0,24,$,93rd St & Central Park W,10025.0,40.78973,-73.9661,https://www.yelp.com/biz/billys-hot-dog-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
6,Bolivian Llama Party,4.5,353,$,1000 S 8th Ave,10019.0,40.694983,-73.991036,https://www.yelp.com/biz/bolivian-llama-party-new-york-7?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
7,Tong,5.0,29,No data found,37-08 73rd St,11372.0,40.749142,-73.892438,https://www.yelp.com/biz/tong-jackson-heights?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
8,Smorgasburg - Prospect Park,4.5,292,$$,Prospect Park,11225.0,40.659016877602504,-73.96627542547,https://www.yelp.com/biz/smorgasburg-prospect-park-breeze-hill-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
9,Cheong Fun Cart,4.5,78,$,159 Hester St.,10013.0,40.7176279773311,-73.99637368570559,https://www.yelp.com/biz/cheong-fun-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
10,Tortas Neza,4.5,96,$,104-58 Roosevelt Ave,11368.0,40.75019,-73.85956,https://www.yelp.com/biz/tortas-neza-corona?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
