,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url
0,Stone Bridge Pizza & Salad,4.5,277,$$,16 E 41st St,10017,40.75225,-73.98061,https://www.yelp.com/biz/stone-bridge-pizza-and-salad-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
1,Alfie's Pizza,4.5,141,$,8608 117th St,11418,40.69983,-73.83291,https://www.yelp.com/biz/alfies-pizza-richmond-hill?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
2,Tony's Pizzeria & Restaurant,4.5,301,$,443 Knickerbocker Ave,11237,40.699286,-73.918724,https://www.yelp.com/biz/tonys-pizzeria-and-restaurant-brooklyn-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
3,Margherita Pizza,4.5,289,$,163-04 Jamaica Ave,11432,40.7045845329735,-73.7967360578922,https://www.yelp.com/biz/margherita-pizza-jamaica?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
4,Paulie Gee's,4.5,1251,$$,60 Greenpoint Ave,11222,40.729546,-73.958568,https://www.yelp.com/biz/paulie-gees-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
5,Piz-zetta,4.5,291,$,90 Livingston St,11201,40.6912834070746,-73.9906029201042,https://www.yelp.com/biz/piz-zetta-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
6,Milkflower,4.5,646,$$,3412 31st Ave,11106,40.7628961,-73.9207081,https://www.yelp.com/biz/milkflower-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
7,Capizzi,4.0,810,$$,547 9th Ave,10018,40.75744,-73.99357,https://www.yelp.com/biz/capizzi-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
8,Baker's Pizza,4.5,219,$,201 Avenue A,10009,40.7294399,-73.98125,https://www.yelp.com/biz/bakers-pizza-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
9,Lucia Pizza,4.5,537,$,136-55 Roosevelt Ave,11354,40.76032,-73.82813,https://www.yelp.com/biz/lucia-pizza-flushing?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
