,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url
0,The Casbah - Halal Cart,4.5,262,$,66th St & Columbus Ave,10023,40.773737186292,-73.9817136526108,https://www.yelp.com/biz/the-casbah-halal-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
1,Yummy Yummy In My Tummy,5.0,32,No data found,467 Union Ave,11211,40.7147283802955,-73.9517624303699,https://www.yelp.com/biz/yummy-yummy-in-my-tummy-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
2,Tariq's 1 Halal Food,4.5,43,$,Corner Of 19th St And Park Ave S,10003,40.7377464,-73.9882183,https://www.yelp.com/biz/tariqs-1-halal-food-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
3,Uncle Gussy's,4.5,459,$,345 Park Ave,10154,40.7576813278964,-73.9732953737526,https://www.yelp.com/biz/uncle-gussys-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
4,Rice Noodle Cart,4.5,150,$,153 Centre St,10013,40.717931,-74.000283,https://www.yelp.com/biz/rice-noodle-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
5,King Souvlaki - Astoria,4.0,298,$,31 St And 31 Ave,11106,40.7643238363402,-73.9235472679138,https://www.yelp.com/biz/king-souvlaki-astoria-astoria-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
6,Anton's Dumplings,4.5,65,$,"New york, NY 10011",10011,40.7311701,-74.0013587,https://www.yelp.com/biz/antons-dumplings-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
7,Hot Mini Cakes,4.5,88,$,SE Corner of Grand St & Bowery,10002,40.7183880810035,-73.9946562419968,https://www.yelp.com/biz/hot-mini-cakes-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
8,Red Hook Food Vendors,4.0,195,$,155 Bay St,11232,40.671844714382,-74.0031832507873,https://www.yelp.com/biz/red-hook-food-vendors-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
9,Sammy's Halal Food,4.0,114,$,NE Corner 6th Ave W 4th St,10012,40.72898,-73.99541,https://www.yelp.com/biz/sammys-halal-food-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
