,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url
0,La Bagel Delight,4.0,298,$,284 7th Ave,11215,40.668548813868,-73.980512840055,https://www.yelp.com/biz/la-bagel-delight-brooklyn-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
1,Hand Rolled Bagels,4.0,252,$,930 Hillside Ave,11040,40.74347,-73.69257,https://www.yelp.com/biz/hand-rolled-bagels-new-hyde-park?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
2,Tompkins Square Bagels - Avenue A,4.0,1117,$,165 Avenue A,10009,40.72823,-73.9823,https://www.yelp.com/biz/tompkins-square-bagels-avenue-a-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
3,Brooklyn Bagel & Coffee Company,4.0,466,$,36-14 30th Ave,11103,40.76457,-73.91703,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-astoria-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
4,NY Bagels & Cafe,4.0,210,$,587 1st Ave,10016,40.743578,-73.973966,https://www.yelp.com/biz/ny-bagels-and-cafe-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
5,Astoria Bagel Shop & Deli,4.0,153,$,2812 Ditmars Blvd,11105,40.776878,-73.91223,https://www.yelp.com/biz/astoria-bagel-shop-and-deli-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
6,Wonder Bagels,4.0,477,$,517 Jersey Ave,07302,40.7205996367127,-74.0469315376866,https://www.yelp.com/biz/wonder-bagels-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
7,Glendale Bagels & Quality Deli,4.0,116,$,6935 Myrtle Ave,11385,40.70211,-73.88158,https://www.yelp.com/biz/glendale-bagels-and-quality-deli-glendale?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
8,Bergen Bagels,4.0,385,$,473 Bergen St,11217,40.680987,-73.974796,https://www.yelp.com/biz/bergen-bagels-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
9,Shelsky's of Brooklyn Appetizing & Delicateseen,4.0,186,$$$,141 Court St,11201,40.689386,-73.9922942,https://www.yelp.com/biz/shelskys-of-brooklyn-appetizing-and-delicateseen-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
10,Sable's Smoked Fish,4.0,239,$$,1330 3rd Ave,10075,40.772529,-73.958894,https://www.yelp.com/biz/sables-smoked-fish-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
11,Bagel Parlor,4.5,18,No data found,14-37 150th St,11357,40.78782,-73.81317,https://www.yelp.com/biz/bagel-parlor-whitestone-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
12,Bagels & Brew,4.0,212,$,43-05 Broadway,11103,40.7579,-73.91619,https://www.yelp.com/biz/bagels-and-brew-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
13,Lula Bagel,4.0,237,$,816 Nostrand Ave,11216,40.6708944,-73.9505963,https://www.yelp.com/biz/lula-bagel-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
14,Rego Bagels,4.0,151,$,9508 63rd Dr,11374,40.7295312415351,-73.8625347233294,https://www.yelp.com/biz/rego-bagels-rego-park-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
15,Wonder Bagels,4.0,105,$,433 Sip Ave,07306,40.73417,-74.08071,https://www.yelp.com/biz/wonder-bagels-jersey-city-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
16,Slim's,4.0,92,$,22118 Horace Harding Expy,11364,40.7490765,-73.7561711,https://www.yelp.com/biz/slims-oakland-gardens?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
17,Forest Hills Bagel,3.5,245,$,10441 Queens Blvd,11375,40.723687,-73.847764,https://www.yelp.com/biz/forest-hills-bagel-forest-hills?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
18,O'Bagel,3.5,342,$,600 Washington St,07030,40.7436099,-74.0293,https://www.yelp.com/biz/o-bagel-hoboken?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
19,The Bagel Factory - 17th St,3.5,126,$,612 5th Ave,11215,40.66378,-73.99118,https://www.yelp.com/biz/the-bagel-factory-17th-st-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
20,Baker's Dozen,3.5,213,$,788 Manhattan Ave,11222,40.72757,-73.95282,https://www.yelp.com/biz/bakers-dozen-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
21,Pick-A-Bagel,3.5,247,$,1475 2nd Ave,10075,40.7718007247036,-73.9564039625892,https://www.yelp.com/biz/pick-a-bagel-new-york-6?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
22,Pick A Bagel,3.5,884,$$,891 8th Ave,10019,40.76462,-73.98494,https://www.yelp.com/biz/pick-a-bagel-new-york-15?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
23,Chelsea Bagel Of Tudor City,3.5,102,$,800 2nd Ave,10017,40.750053,-73.971672,https://www.yelp.com/biz/chelsea-bagel-of-tudor-city-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
24,Murray's Bagels,3.0,843,$,500 Ave Of The Americas,10011,40.736339,-73.997184,https://www.yelp.com/biz/murrays-bagels-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
25,La Bagel Delight at Court St,3.5,161,$,90 Court St,11201,40.69117,-73.99182,https://www.yelp.com/biz/la-bagel-delight-at-court-st-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
26,Russ & Daughters at the Jewish Museum,3.5,107,$$,1109 5th Ave,10128,40.7854,-73.95719,https://www.yelp.com/biz/russ-and-daughters-at-the-jewish-museum-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
27,Bagel Point,3.5,140,No data found,699 Manhattan Ave,11222,40.72553,-73.9519495,https://www.yelp.com/biz/bagel-point-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
28,Ess-a-Bagel,3.5,131,$$,108 W 32nd St,10001,40.74863,-73.9894,https://www.yelp.com/biz/ess-a-bagel-new-york-6?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
29,Tal Bagels,3.5,240,$,979 1st Ave,10022,40.7562849,-73.9645765,https://www.yelp.com/biz/tal-bagels-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
30,Fantastic Bagels,3.5,56,$,8614 4th Ave,11209,40.622478,-74.028846,https://www.yelp.com/biz/fantastic-bagels-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
