,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url
0,Casa Della Mozzarella Italian Deli,5.0,176,$$,604 E 187th St,10458,40.85533,-73.88742,https://www.yelp.com/biz/casa-della-mozzarella-italian-deli-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
1,Sorriso Italian Pork Store,4.5,343,$,4416 30th Ave,11103,40.7621401,-73.9116109,https://www.yelp.com/biz/sorriso-italian-pork-store-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
2,Russ & Daughters Cafe,4.0,1006,$$,127 Orchard St,10002,40.7196253171697,-73.9895758930263,https://www.yelp.com/biz/russ-and-daughters-cafe-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
3,L & M Delicatessen & Catering,4.5,94,$,80 7th Ave,10011,40.7395,-73.99922,https://www.yelp.com/biz/l-and-m-delicatessen-and-catering-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
4,John's Famous Deli,4.5,53,$,15 Innis St,10302,40.6337699890137,-74.1417388916016,https://www.yelp.com/biz/johns-famous-deli-staten-island?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
5,Tasty Deli,4.0,280,$,4020 Broadway,10032,40.8417636163985,-73.9390395039113,https://www.yelp.com/biz/tasty-deli-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
6,Brooklyn Bodega Sub Hub,5.0,18,No data found,471 7th Ave,11215,40.66224,-73.98529,https://www.yelp.com/biz/brooklyn-bodega-sub-hub-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
7,Heaven's Hot Bagel,4.0,200,$,283 E Houston St,10002,40.72131,-73.98436,https://www.yelp.com/biz/heavens-hot-bagel-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
8,George's Deli,4.5,59,$,3619 28th Ave,11103,40.766479,-73.915237,https://www.yelp.com/biz/georges-deli-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
9,Green Basket & More,5.0,14,$,852 Wyckoff Ave,11237,40.697624,-73.908051,https://www.yelp.com/biz/green-basket-and-more-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
